YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 20 12 00 260  5.7  6.7  0.50  3.00 99.00 999 1022.0   5.9   4.4   2.8 99.0 99.00
2006 01 20 13 00 250  3.6  4.6  0.50  3.00 99.00 999 1022.0   5.3   3.8   2.6 99.0 99.00
2006 01 20 14 00 280  2.6  3.1  0.50  4.00 99.00 999 1021.9   5.2   3.8   2.6 99.0 99.00
2006 01 20 15 00 310  1.5  2.6  0.40  4.00 99.00 999 1021.2   5.3   3.9   2.6 99.0 99.00
2006 01 20 16 00 310  2.1  2.6  0.40  4.00 99.00 999 1020.1   5.7   4.3   2.7 99.0 99.00
2006 01 20 17 00 260  0.5  1.0  0.30  3.00 99.00 999 1019.7   6.5   4.5   2.9 99.0 99.00
2006 01 20 18 00   0  0.0  1.0  0.20 99.00 99.00 999 1019.7   7.2   4.9   3.0 99.0 99.00
2006 01 20 19 00 160  2.1  2.6  0.20 99.00 99.00 999 1019.5   6.7   5.0   3.1 99.0 99.00
2006 01 20 20 00 220  2.6  3.6  0.20 99.00 99.00 999 1020.1   7.4   4.9   3.3 99.0 99.00
2006 01 20 21 00 220  2.1  3.1  0.20 99.00 99.00 999 1020.6   7.3   4.8   3.5 99.0 99.00
2006 01 20 22 00 230  5.1  6.2  0.20 99.00 99.00 999 1020.6   7.2   4.8   3.9 99.0 99.00
2006 01 20 23 00 240  4.6  5.7  0.20 99.00 99.00 999 1021.1   6.9   4.5   4.0 99.0 99.00
2006 01 21 00 00 240  4.6  5.1  0.30  2.00 99.00 999 1021.2   6.4   4.5   4.3 99.0 99.00
2006 01 21 01 00 270  2.6  3.6  0.30  2.00 99.00 999 1021.3   6.3   4.3   4.1 99.0 99.00
2006 01 21 02 00 250  2.6  4.6  0.20 99.00 99.00 999 1021.2   7.2   4.2   4.1 99.0 99.00
2006 01 21 03 00 220  2.1  3.1  0.20 99.00 99.00 999 1020.9   6.2   4.2   4.1 99.0 99.00
2006 01 21 04 00 250  1.5  2.6  0.20 99.00 99.00 999 1020.8   6.2   4.2   4.2 99.0 99.00
2006 01 21 05 00 210  2.1  2.6  0.20 99.00 99.00 999 1020.4   5.6   4.2   4.0 99.0 99.00
2006 01 21 06 00 220  2.1  2.6  0.20 99.00 99.00 999 1020.0   5.9   4.2   4.0 99.0 99.00
2006 01 21 07 00 210  2.1  2.6  0.20 99.00 99.00 999 1019.5   5.9   4.3   4.1 99.0 99.00
2006 01 21 08 00 220  2.6  3.6  0.20 99.00 99.00 999 1019.0   6.0   4.2   4.1 99.0 99.00
2006 01 21 09 00 230  4.6  7.2  0.20 99.00 99.00 999 1018.0   6.5   4.3   4.6 99.0 99.00
2006 01 21 10 00 230  6.2  8.2  0.20 99.00 99.00 999 1016.6   6.4   4.3   4.3 99.0 99.00
2006 01 21 11 00 250  4.1  5.7  0.40  3.00 99.00 999 1016.4   6.0   4.3   4.2 99.0 99.00
2006 01 21 12 00 270  4.1  5.1  0.40  3.00 99.00 999 1016.0   6.7   4.4   4.7 99.0 99.00
2006 01 21 13 00 250  5.1  6.7  0.30  3.00 99.00 999 1015.4   7.2   4.4   5.1 99.0 99.00
2006 01 21 14 00 260  8.2 10.8  0.50  3.00 99.00 999 1014.8   7.7   4.4   5.0 99.0 99.00
2006 01 21 15 00 270  6.2  7.7  0.60  3.00 99.00 999 1014.1   6.8   4.4   4.2 99.0 99.00
2006 01 21 16 00 270  2.6  3.6  0.60  4.00 99.00 999 1012.8   6.9   4.5   4.2 99.0 99.00
2006 01 21 17 00 270  3.6  5.1  0.50  4.00 99.00 999 1012.5   6.6   4.5   3.8 99.0 99.00
2006 01 21 18 00 280  2.6  4.1  0.40  4.00 99.00 999 1012.0   6.1   4.4   3.9 99.0 99.00
2006 01 21 19 00 260  5.7  7.2  0.30  3.00 99.00 999 1011.8   7.7   4.5   5.2 99.0 99.00
2006 01 21 20 00 250  6.7  8.8  0.40  3.00 99.00 999 1012.2   8.6   4.6   5.5 99.0 99.00
2006 01 21 21 00 290 10.3 14.4  0.50  3.00 99.00 999 1014.3   9.7   4.5   5.3 99.0 99.00
2006 01 21 22 00 310 10.3 13.4  0.60  3.00 99.00 999 1017.2   9.1   4.5   2.2 99.0 99.00
2006 01 21 23 00 340 10.3 14.4  1.00  4.00 99.00 999 1021.0   7.4   4.5   0.5 99.0 99.00
2006 01 22 00 00 330  8.2 12.9  1.20  4.00 99.00 999 1023.5   6.4   4.4  -0.5 99.0 99.00
2006 01 22 01 00 350 10.3 15.4  1.10  4.00 99.00 999 1025.2   5.6   4.4  -1.2 99.0 99.00
2006 01 22 02 00 340  8.8 11.8  0.90  4.00 99.00 999 1026.7   4.7   4.4  -1.9 99.0 99.00
2006 01 22 03 00 340  8.8 11.8  0.90  4.00 99.00 999 1026.7   4.7   4.4  -1.9 99.0 99.00
2006 01 22 04 00 330  8.2 11.8  0.70  4.00 99.00 999 1029.0   4.0   4.4  -3.7 99.0 99.00
2006 01 22 05 00 340  9.8 13.9  0.60  4.00 99.00 999 1029.9   3.5   4.4  -5.4 99.0 99.00
2006 01 22 06 00 340  7.2 10.3  0.60  3.00 99.00 999 1031.5   2.9   4.5  -6.3 99.0 99.00
2006 01 22 07 00 350  8.8 11.8  0.60  4.00 99.00 999 1032.2   2.5   4.5  -7.3 99.0 99.00
2006 01 22 08 00 350  8.2 12.4  0.60  4.00 99.00 999 1033.1   1.8   4.6  -8.0 99.0 99.00
2006 01 22 09 00 350  6.7  8.8  0.60  3.00 99.00 999 1034.5   1.3   4.6  -8.5 99.0 99.00
2006 01 22 10 00 350  5.7  7.7  0.50  3.00 99.00 999 1035.7   1.1   4.5  -7.9 99.0 99.00
2006 01 22 11 00 350  6.2  7.7  0.50  3.00 99.00 999 1036.4   0.6   4.4  -7.9 99.0 99.00
2006 01 22 12 00 350  5.7  7.2  0.40  3.00 99.00 999 1037.8   0.4   4.4  -8.0 99.0 99.00
2006 01 22 13 00  10  5.7  7.2  0.40  2.00 99.00 999 1038.3   0.2   4.4  -7.6 99.0 99.00
2006 01 22 14 00  10  3.6  5.7  0.30  2.00 99.00 999 1039.5   0.5   4.4  -8.1 99.0 99.00
2006 01 22 15 00  10  3.6  5.1  0.30  2.00 99.00 999 1039.1   0.8   4.4  -8.6 99.0 99.00
2006 01 22 16 00 360  1.5  2.6  0.20 99.00 99.00 999 1038.4   1.1   4.5  -9.4 99.0 99.00
2006 01 22 17 00 280  2.6  4.1  0.10 99.00 99.00 999 1038.1   1.5   4.6  -8.6 99.0 99.00
2006 01 22 18 00 270  2.6  3.1  0.10 99.00 99.00 999 1037.3   2.0   4.9  -7.9 99.0 99.00
2006 01 22 19 00 260  3.6  5.1  0.10 99.00 99.00 999 1037.3   2.0   4.9  -7.3 99.0 99.00
2006 01 22 20 00 260  4.1  5.1  0.10 99.00 99.00 999 1037.0   2.1   4.9  -6.6 99.0 99.00
2006 01 22 21 00 250  2.1  3.1  0.20 99.00 99.00 999 1037.0   2.7   4.9  -6.8 99.0 99.00
2006 01 22 22 00 210  1.5  2.1  0.20 99.00 99.00 999 1037.1   3.0   4.7  -7.2 99.0 99.00
2006 01 22 23 00 190  2.6  3.6  0.10 99.00 99.00 999 1037.0   3.1   4.7  -6.4 99.0 99.00
2006 01 23 00 00 180  3.6  4.6  0.10 99.00 99.00 999 1036.2   3.0   4.5  -6.1 99.0 99.00
2006 01 23 01 00 170  4.1  5.1  0.10 99.00 99.00 999 1035.7   2.9   4.4  -5.0 99.0 99.00
