#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 00 00 200  2.6  3.1 99.00 99.00 99.00 999 1021.0   9.6 999.0   5.1 99.0 99.00
2007 01 05 00 30 290  3.1  3.6 99.00 99.00 99.00 999 1021.0   9.1 999.0   5.3 99.0 99.00
2007 01 05 01 00 260  2.6  3.1 99.00 99.00 99.00 999 1020.9   8.8 999.0   5.5 99.0 99.00
2007 01 05 01 30 230  2.6  3.6 99.00 99.00 99.00 999 1020.5   9.4 999.0   5.3 99.0 99.00
2007 01 05 02 00 260  1.0  2.1 99.00 99.00 99.00 999 1020.5   9.1 999.0   5.4 99.0 99.00
2007 01 05 02 30 230  2.1  2.6 99.00 99.00 99.00 999 1020.2   9.7 999.0   4.8 99.0 99.00
2007 01 05 03 00 270  1.0  1.5 99.00 99.00 99.00 999 1020.0   9.3 999.0   5.2 99.0 99.00
2007 01 05 03 30 280  1.0  1.5 99.00 99.00 99.00 999 1019.8   9.4 999.0   5.1 99.0 99.00
2007 01 05 04 00 250  1.5  2.1 99.00 99.00 99.00 999 1019.1   9.7 999.0   5.2 99.0 99.00
2007 01 05 04 30 250  1.5  2.1 99.00 99.00 99.00 999 1018.5   9.5 999.0   5.8 99.0 99.00
2007 01 05 05 00 210  1.5  2.1 99.00 99.00 99.00 999 1018.0   9.4 999.0   6.4 99.0 99.00
2007 01 05 05 30 220  3.1  3.6 99.00 99.00 99.00 999 1017.8   9.7 999.0   6.6 99.0 99.00
2007 01 05 06 00 230  2.1  2.1 99.00 99.00 99.00 999 1017.3   9.8 999.0   7.2 99.0 99.00
2007 01 05 06 30 240  2.6  3.1 99.00 99.00 99.00 999 1017.2   9.6 999.0   7.7 99.0 99.00
2007 01 05 07 00 250  2.1  2.6 99.00 99.00 99.00 999 1017.3   9.0 999.0   7.7 99.0 99.00
2007 01 05 07 30 220  2.1  2.6 99.00 99.00 99.00 999 1016.9   9.0 999.0   7.9 99.0 99.00
2007 01 05 08 00 250  1.5  2.1 99.00 99.00 99.00 999 1016.9   9.5 999.0   8.3 99.0 99.00
2007 01 05 08 30 310  2.1  2.6 99.00 99.00 99.00 999 1017.0   8.7 999.0   7.6 99.0 99.00
2007 01 05 09 00 330  1.5  2.1 99.00 99.00 99.00 999 1016.8   8.2 999.0   7.2 99.0 99.00
2007 01 05 09 30 270  0.5  1.0 99.00 99.00 99.00 999 1016.6   8.9 999.0   7.8 99.0 99.00
2007 01 05 10 00 220  2.6  3.1 99.00 99.00 99.00 999 1016.3   9.7 999.0   8.6 99.0 99.00
2007 01 05 10 30 230  3.6  4.1 99.00 99.00 99.00 999 1016.3  10.9 999.0   9.3 99.0 99.00
2007 01 05 11 00  30  1.0  2.1 99.00 99.00 99.00 999 1016.4   8.7 999.0   7.6 99.0 99.00
2007 01 05 11 30 200  2.6  3.6 99.00 99.00 99.00 999 1016.1   9.9 999.0   8.9 99.0 99.00
2007 01 05 12 00 210  4.1  5.1 99.00 99.00 99.00 999 1015.8  11.4 999.0   9.4 99.0 99.00
