Buoy 44017 Time	Buoy 44017 Wave Height	Buoy 44017 U10	SARAL-AltiKa Time	SARAL-AltiKa Wave Height	SARAL-AltiKa Wind Speed	Buoy-Sat. Distance (km)	Time Difference (min.)
2017-01-25 10:50:00.000000000	2.26	15.442649393761728	2017-01-25 10:20:05.116341120	2.453000068664551	14.229999542236328	5.475213970987032	-29.914727648
2017-01-25 10:50:00.000000000	2.26	15.442649393761728	2017-01-25 10:20:06.154918912	2.2730000019073486	13.829999923706055	1.8979087876387821	-29.897418018133333
2017-01-25 10:50:00.000000000	2.26	15.442649393761728	2017-01-25 10:20:07.193494080	2.0530002117156982	13.210000038146973	8.64491242466655	-29.880108432
2018-03-10 22:50:00.000000000	1.63	11.471682406794427	2018-03-10 23:17:18.570518976	1.6060000658035278	10.989999771118164	10.422576736857604	27.309508649599998
2018-03-10 22:50:00.000000000	1.63	11.471682406794427	2018-03-10 23:17:19.608037952	1.6110000610351562	10.960000038146973	7.723123636499777	27.32680063253333
2018-03-10 22:50:00.000000000	1.63	11.471682406794427	2018-03-10 23:17:20.645558848	1.727000117301941	11.09000015258789	10.393492849679074	27.344092647466667
2018-04-19 09:50:00.000000000	0.96	0.6618278311612169	2018-04-19 10:17:45.489478144	0.9550000429153442	3.259999990463257	13.145949293999697	27.758157969066666
2018-04-19 09:50:00.000000000	0.96	0.6618278311612169	2018-04-19 10:17:46.526999040	1.027000069618225	3.759999990463257	6.248417259626036	27.775449983999998
2018-04-19 09:50:00.000000000	0.96	0.6618278311612169	2018-04-19 10:17:47.564516992	1.0550000667572021	3.7200000286102295	1.6207309974756616	27.79274194986667
2018-04-19 09:50:00.000000000	0.96	0.6618278311612169	2018-04-19 10:17:48.602037888	1.0090000629425049	2.93999981880188	7.972849964905304	27.810033964800002
2018-04-19 09:50:00.000000000	0.96	0.6618278311612169	2018-04-19 10:17:49.639556864	1.061000108718872	2.2899999618530273	14.894859848706052	27.827325947733335
2018-06-11 22:50:00.000000000	0.82	4.30188090254791	2018-06-11 23:16:21.064245248	0.9000000357627869	4.949999809265137	9.381661747269023	26.35107075413333
