YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 08 04 309  3.0  3.4 99.00 99.00 99.00 999 1031.2  -3.8 999.0 999.0 99.0
1999 01 08 05 297  3.8  4.3 99.00 99.00 99.00 999 1031.6  -3.5 999.0 999.0 99.0
1999 01 08 06 309  4.9  6.0 99.00 99.00 99.00 999 1032.0  -3.8 999.0 999.0 99.0
1999 01 08 07 304  5.2  6.4 99.00 99.00 99.00 999 1033.0  -3.9 999.0 999.0 99.0
1999 01 08 08 322  4.3  5.1 99.00 99.00 99.00 999 1033.6  -4.2 999.0 999.0 99.0
1999 01 08 09 321  5.8  7.5 99.00 99.00 99.00 999 1033.9  -4.8 999.0 999.0 99.0
1999 01 08 10 304  7.1  7.8 99.00 99.00 99.00 999 1034.6  -5.3 999.0 999.0 99.0
1999 01 08 11 331  6.3  7.4 99.00 99.00 99.00 999 1034.9  -5.7 999.0 999.0 99.0
1999 01 08 12 344  5.3  6.3 99.00 99.00 99.00 999 1035.3  -5.5 999.0 999.0 99.0
1999 01 08 13 359  4.2  5.0 99.00 99.00 99.00 999 1035.5  -5.4 999.0 999.0 99.0
1999 01 08 14  13  4.3  5.0 99.00 99.00 99.00 999 1035.8  -5.1 999.0 999.0 99.0
1999 01 08 15  37  3.3  4.4 99.00 99.00 99.00 999 1035.8  -4.7 999.0 999.0 99.0
1999 01 08 16  81  2.3  2.8 99.00 99.00 99.00 999 1035.8  -4.0 999.0 999.0 99.0
1999 01 08 17 135  3.5  4.7 99.00 99.00 99.00 999 1035.0  -3.3 999.0 999.0 99.0
1999 01 08 18 135  5.7  7.1 99.00 99.00 99.00 999 1033.7  -2.5 999.0 999.0 99.0
1999 01 08 19 127  7.8  8.8 99.00 99.00 99.00 999 1032.1  -2.0 999.0 999.0 99.0
1999 01 08 20 115 10.0 11.4 99.00 99.00 99.00 999 1030.2  -1.1 999.0 999.0 99.0
1999 01 08 21 112 11.2 13.1 99.00 99.00 99.00 999 1029.3   -.2 999.0 999.0 99.0
1999 01 08 22 122 11.8 12.9 99.00 99.00 99.00 999 1027.9    .6 999.0 999.0 99.0
1999 01 08 23 114 10.6 11.8 99.00 99.00 99.00 999 1027.0   1.2 999.0 999.0 99.0
1999 01 09 00 129 14.1 15.1 99.00 99.00 99.00 999 1025.9   2.4 999.0 999.0 99.0
1999 01 09 01 120 10.6 12.6 99.00 99.00 99.00 999 1023.9   3.4 999.0 999.0 99.0
1999 01 09 02 131 14.6 16.1 99.00 99.00 99.00 999 1021.5   4.8 999.0 999.0 99.0
1999 01 09 03 140 14.1 15.6 99.00 99.00 99.00 999 1019.5   5.8 999.0 999.0 99.0
1999 01 09 04 165 12.2 13.6 99.00 99.00 99.00 999 1018.3   7.8 999.0 999.0 99.0
1999 01 09 05 205 13.5 15.3 99.00 99.00 99.00 999 1018.1   8.9 999.0 999.0 99.0
1999 01 09 06 205 12.4 13.5 99.00 99.00 99.00 999 1017.5   8.5 999.0 999.0 99.0
